RCP,MCDAAlgs,Years,Guided,PrSites,Seed1,Seed2,SRM,AssistedAdapt,NaturalAdapt,CoralCover,Cult_ES,Prov_ES
26,1,10,0,1,0,0,0,0,0,0.624576329,0.087866257,0.115277893
26,1,10,0,1,0,0,0,0,0,1,0.151668831,0.215741157
26,1,10,0,1,0,0,0,0,0,0.823348697,0.121588043,0.169264022
26,1,10,0,1,0,0,0,0,0,0.653318927,0.091082831,0.119982671
26,1,10,0,1,0,0,0,0,0,0.930146861,0.138370619,0.194836767
26,1,10,0,1,0,0,0,0,0,1,0.179525834,0.262861538
26,1,10,0,1,0,0,0,0,0,1,0.158508511,0.228973374
26,1,10,0,1,0,0,0,0,0,0.980835899,0.14769778,0.209299496
26,1,10,0,1,0,0,0,0,0,0.721749002,0.103363345,0.137848879
26,1,10,0,1,0,0,0,0,0,0.658554984,0.091273258,0.117917717
26,1,10,0,1,0,0,0,0,0.05,0.697587562,0.102275646,0.138824
26,1,10,0,1,0,0,0,0,0.05,1,0.1699369,0.246129572
26,1,10,0,1,0,0,0,0,0.05,0.902249686,0.136932459,0.194337803
26,1,10,0,1,0,0,0,0,0.05,0.733214623,0.105515782,0.143350862
26,1,10,0,1,0,0,0,0,0.05,1,0.154944344,0.222235943
26,1,10,0,1,0,0,0,0,0.05,1,0.19768159,0.292687297
26,1,10,0,1,0,0,0,0,0.05,1,0.17520276,0.25635278
26,1,10,0,1,0,0,0,0,0.05,1,0.165242871,0.238537349
26,1,10,0,1,0,0,0,0,0.05,0.8072987,0.118417725,0.162394763
26,1,10,0,1,0,0,0,0,0.05,0.747645294,0.106947184,0.143617673
26,1,10,0,1,0,0,0,6,0,0.624576329,0.087866257,0.115277893
26,1,10,0,1,0,0,0,6,0,1,0.151668831,0.215741157
26,1,10,0,1,0,0,0,6,0,0.823348697,0.121588043,0.169264022
26,1,10,0,1,0,0,0,6,0,0.653318927,0.091082831,0.119982671
26,1,10,0,1,0,0,0,6,0,0.930146861,0.138370619,0.194836767
26,1,10,0,1,0,0,0,6,0,1,0.179525834,0.262861538
26,1,10,0,1,0,0,0,6,0,1,0.158508511,0.228973374
26,1,10,0,1,0,0,0,6,0,0.980835899,0.14769778,0.209299496
26,1,10,0,1,0,0,0,6,0,0.721749002,0.103363345,0.137848879
26,1,10,0,1,0,0,0,6,0,0.658554984,0.091273258,0.117917717
26,1,10,0,1,0,0,0,6,0.05,0.697587562,0.102275646,0.138824
26,1,10,0,1,0,0,0,6,0.05,1,0.1699369,0.246129572
26,1,10,0,1,0,0,0,6,0.05,0.902249686,0.136932459,0.194337803
26,1,10,0,1,0,0,0,6,0.05,0.733214623,0.105515782,0.143350862
26,1,10,0,1,0,0,0,6,0.05,1,0.154944344,0.222235943
26,1,10,0,1,0,0,0,6,0.05,1,0.19768159,0.292687297
26,1,10,0,1,0,0,0,6,0.05,1,0.17520276,0.25635278
26,1,10,0,1,0,0,0,6,0.05,1,0.165242871,0.238537349
